,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
1042,2024-08-03 08:00:00+00:00,37.45267105102539,-19.36029815673828,19.98,6.122222222222222,2.927777777777778,0.0533333333333333,1005.4933333333336,18.70555555555556,76.75555555555555,60.45555555555555,2024-08-03,20.54,18.0,0,31694.01,4030634.048,31671.3
1043,2024-08-03 09:00:00+00:00,37.24917984008789,-55.861419677734375,19.87,5.4,3.041111111111112,0.0066666666666666,1005.5655555555556,19.47888888888889,72.67777777777778,83.83333333333333,2024-08-03,24.36,15.3,0,31822.72,4060144.292,32233.4
1044,2024-08-03 10:00:00+00:00,58.88465881347656,-47.30905151367188,14.66,5.344444444444445,3.087111111111111,0.0933333333333333,1005.5399999999998,19.85333333333333,71.4,79.12444444444444,2024-08-03,30.0,28.0,0,31493.95,4092716.708,32019.1
1045,2024-08-03 11:00:00+00:00,66.11830139160156,-60.0,6.41,5.633333333333334,3.232222222222222,0.16,1005.5155555555556,19.64333333333333,72.42222222222222,94.12222222222222,2024-08-03,27.66,24.0,0,31954.7,4151890.531,31899.6
1046,2024-08-03 12:00:00+00:00,66.11830139160156,-57.84152221679688,4.1,6.388888888888888,2.5477777777777777,0.48,1005.6955555555556,18.962222222222223,77.55555555555556,66.04444444444444,2024-08-03,29.07,28.0,0,32522.2,4185850.301,31774.7
1047,2024-08-03 13:00:00+00:00,66.11830139160156,-37.41431427001953,13.25,5.288888888888889,2.2186666666666666,0.1866666666666666,1005.6366666666668,19.481111111111108,74.52222222222221,82.23333333333333,2024-08-03,28.05,28.0,0,32168.22,4237715.104,31839.300000000003
1048,2024-08-03 14:00:00+00:00,196.1015625,-26.427160263061523,22.23,5.388888888888888,2.571111111111111,0.02,1005.7233333333334,19.48111111111111,74.8111111111111,113.33333333333331,2024-08-03,24.48,24.0,0,31960.05,4296320.275,31915.3
1049,2024-08-03 15:00:00+00:00,75.40949249267578,-26.427160263061523,23.75,4.477777777777778,2.2666666666666666,0.0,1005.7722222222222,19.26,77.16666666666667,103.7777777777778,2024-08-03,15.34,14.57,0,32004.33,4356302.84,31954.2
1050,2024-08-03 16:00:00+00:00,47.0156478881836,-24.413074493408203,23.22,4.088888888888889,2.1977777777777776,0.0733333333333333,1005.8011111111113,18.90888888888889,79.66666666666667,134.3,2024-08-03,14.8,15.3,0,31835.86,4392496.077,31743.5
1051,2024-08-03 17:00:00+00:00,102.30272674560548,-21.050870895385746,23.03,4.555555555555555,2.0166666666666666,0.2533333333333333,1006.0011111111112,18.276666666666664,84.34444444444445,155.65555555555557,2024-08-03,13.98,15.0,0,31259.03,4308276.57,31409.0
