target,forecast_origin_utc,horizon_hour,timestamp_utc,actual,forecast
Down,2025-02-12T22:00:00+00:00,22,2025-02-13T20:00:00+00:00,77.37750244140625,-13.818204224068301
Down,2025-02-12T22:00:00+00:00,23,2025-02-13T21:00:00+00:00,82.5133285522461,-22.6521925061849
Down,2025-02-12T22:00:00+00:00,24,2025-02-13T22:00:00+00:00,76.1199951171875,-16.501447268807055
Down,2025-02-12T22:00:00+00:00,25,2025-02-13T23:00:00+00:00,48.92499923706055,-20.9671316657198
Down,2025-02-12T22:00:00+00:00,26,2025-02-14T00:00:00+00:00,69.93000030517578,-12.249491677477875
Down,2025-02-12T22:00:00+00:00,27,2025-02-14T01:00:00+00:00,80.03666687011719,-12.873537355876243
Down,2025-02-12T22:00:00+00:00,28,2025-02-14T02:00:00+00:00,72.06749725341797,-14.442846140442672
Down,2025-02-12T22:00:00+00:00,29,2025-02-14T03:00:00+00:00,72.0,-19.10879375152013
Down,2025-02-12T22:00:00+00:00,30,2025-02-14T04:00:00+00:00,48.62333297729492,-17.14852866499051
Down,2025-02-12T22:00:00+00:00,31,2025-02-14T05:00:00+00:00,65.67500305175781,-8.39307938132572
Down,2025-02-12T22:00:00+00:00,32,2025-02-14T06:00:00+00:00,45.526668548583984,-12.901248928503316
Down,2025-02-12T22:00:00+00:00,33,2025-02-14T07:00:00+00:00,95.91999816894533,-13.15805555921464
Down,2025-02-12T22:00:00+00:00,34,2025-02-14T08:00:00+00:00,116.66999816894533,-13.773924736667704
Down,2025-02-12T22:00:00+00:00,35,2025-02-14T09:00:00+00:00,107.1649932861328,-9.94814110205593
Down,2025-02-12T22:00:00+00:00,36,2025-02-14T10:00:00+00:00,52.03499984741211,-24.302827269500227
Down,2025-02-12T22:00:00+00:00,37,2025-02-14T11:00:00+00:00,75.16749572753906,-20.251500882077
Down,2025-02-12T22:00:00+00:00,38,2025-02-14T12:00:00+00:00,81.19332885742188,-16.687214451134373
Down,2025-02-12T22:00:00+00:00,39,2025-02-14T13:00:00+00:00,101.1624984741211,-20.941720092392593
Down,2025-02-12T22:00:00+00:00,40,2025-02-14T14:00:00+00:00,75.09333038330078,-26.51303256606326
Down,2025-02-12T22:00:00+00:00,41,2025-02-14T15:00:00+00:00,56.7066650390625,-25.74755888313264
Down,2025-02-12T22:00:00+00:00,42,2025-02-14T16:00:00+00:00,97.54499816894533,-22.608426954980818
Down,2025-02-12T22:00:00+00:00,43,2025-02-14T17:00:00+00:00,49.99000549316406,-22.633689973107316
Down,2025-02-12T22:00:00+00:00,44,2025-02-14T18:00:00+00:00,32.772499084472656,-30.400204336005615
Down,2025-02-12T22:00:00+00:00,45,2025-02-14T19:00:00+00:00,33.667503356933594,-29.4974661042437
Down,2025-02-12T22:00:00+00:00,46,2025-02-14T20:00:00+00:00,59.10499954223633,-28.77841609818338
Down,2025-02-12T22:00:00+00:00,47,2025-02-14T21:00:00+00:00,29.47749900817871,-34.7002790975786
Down,2025-02-12T22:00:00+00:00,48,2025-02-14T22:00:00+00:00,66.7266616821289,-30.774870316250773
Down,2025-02-14T22:00:00+00:00,1,2025-02-14T23:00:00+00:00,4.5966668128967285,30.771483401989002
Down,2025-02-14T22:00:00+00:00,2,2025-02-15T00:00:00+00:00,4.409999847412109,17.314135229647576
Down,2025-02-14T22:00:00+00:00,3,2025-02-15T01:00:00+00:00,6.7133331298828125,12.093683401613728
